id,age,gender,S00001,S00002,S00003,S00004,S00005,S00006,S00007,S00008,S00009,S00010,S00011,S00012,S00013,S00014,S00015,S00016,S00017,S00018,S00019,S00020,S00021,S00022,S00023,S00024,S00025,S00026,S00027,S00028,S00029,S00030
U00049,21,0,4,5,4,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,0,0,0,3,3,3,4,4,3,4,0
U00050,28,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00051,61,0,5,5,4,4,5,4,3,5,3,2,3,2,2,2,2,2,2,2,2,2,0,4,3,3,3,2,2,2,2,1
U00052,59,0,5,3,4,4,5,4,5,3,4,3,3,4,0,4,4,5,0,0,0,0,0,5,0,0,4,0,3,5,0,0
U00053,52,0,5,5,5,5,3,3,4,4,4,4,4,3,4,3,3,0,0,0,0,0,0,3,3,3,3,3,3,4,4,3
U00054,56,0,5,5,5,5,3,3,4,4,4,4,4,3,4,3,3,0,0,0,0,0,0,3,3,3,3,3,3,4,4,3
U00055,34,0,5,5,0,5,0,3,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
U00056,55,0,5,3,3,3,3,3,3,4,3,4,3,2,3,2,2,3,3,3,2,3,3,3,4,3,2,4,3,4,3,2
U00057,18,1,5,5,0,2,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
U00058,53,0,5,4,4,5,4,2,5,4,2,3,4,4,4,4,4,4,3,0,4,0,0,3,3,3,3,3,3,2,4,3
